id,created_at,text
652103047481556992,2015-10-08 12:47:36,@redo0110 saka yapiyorsun  vay bee:) kardesim allah saglikli buyutsun insallah
620516405646086144,2015-07-13 08:53:34,Sahip oldugum tek instagram hesabim muhammetdemir.10 dur.diger adreslerle bir alakam yoktur.bilginize.
620515383599079424,2015-07-13 08:49:30,Az önce bir fotoğraf paylaştı https://t.co/qKggYfi0Hb
618002652295774208,2015-07-06 10:24:48,http://t.co/lvhk2GPrMm
617333809474850816,2015-07-04 14:07:04,"Allah herkeze sakatliksiz bir sezon gecirmeyi nasip etsin ... ""Bismillah"" http://t.co/FlcVq7ajCL"
615593352982097924,2015-06-29 18:51:07,RT @a_kayali: Allah(cc) Doğu Türkistan'ın yardımcısı olsun. #StopTerorisminChina yaptığınız zulmün karşılığı elbet olacaktır. http://t.co/V…
614384015412449281,2015-06-26 10:45:38,http://t.co/1LC05chrsT
605386457910353920,2015-06-01 14:52:33,Esimle safari oncesi :) http://t.co/YAAIciQswa
605385450274963456,2015-06-01 14:48:33,@a_kayali http://t.co/SqVLw5NI8y
603260535099027457,2015-05-26 18:04:54,RT @gokhansuzen19: Gaziantep Spor da iyi bir sezon geçirdim. Desteğini esirgemeyen teknik ekibimize takım arkadaşlarıma ve taraftarımıza ço…
599163256490610689,2015-05-15 10:43:46,Kardesim icin. http://t.co/cWKAYha1ia
599162183923212289,2015-05-15 10:39:31,Hamd olsun http://t.co/6SR6NxuJuz
598964760093335553,2015-05-14 21:35:01,Yeni stad... http://t.co/HKVhXs0g3z
598194320047497216,2015-05-12 18:33:34,RT @GaziantepsporSK: Zorunlu Açıklama: Muhammet Demir; http://t.co/7HouLO9pNT
598194177688604672,2015-05-12 18:33:00,"RT @Gaziantep__27: Gaziantepspor’da golcü futbolcu Muhammet Demir için açılan instagram hesabı uyarısı yapıldı.
http://t.co/Y0Fd2otRFT http…"
577913383808286722,2015-03-17 19:24:22,"Instagramda bulunan #Muhammetdemir10 gibi hesaplar,paylasilan video ve fotograflar bana ait degildir."
