id,created_at,text
682182345059889152,2015-12-30 12:52:00,@ocmort @Barakacity @ moussa
681907404741677056,2015-12-29 18:39:29,"#FreeMoussa 
@Barakacity https://t.co/IOouNi9Jdc"
680754856487972864,2015-12-26 14:19:40,"Départ pour le dernier Match en 2015
On my way to the last game of 2015 https://t.co/WGsJKhEjQC"
673850651131138049,2015-12-07 13:04:49,#Matchday https://t.co/tvIgTeJh7k
664912101132140544,2015-11-12 21:06:13,RT @AlmarssadNouh: Félicitations à @AbdesOuaddou qui a obtenu  son diplôme d’entraîneur ( Uefa A ) https://t.co/Myn7pvfBhC
664911910656212994,2015-11-12 21:05:27,Well done guys ! #MARGEQ 🇲🇦
664879145973870592,2015-11-12 18:55:15,"Good luck to my boys against Equatorial Guinea , I'm not in Agadir but my heart is with you . #DimaMaghreb"
663821065488084993,2015-11-09 20:50:49,"Very Happy to be in the team of the week, couldn't do it without my teammates! https://t.co/mJiYx1ESjm"
663443735045398528,2015-11-08 19:51:27,"Follow me on instagram : Chahechouhe92 
https://t.co/NdtCxJzR3V"
663371171287666690,2015-11-08 15:03:06,"3rd goal of the season , the best is yet to come ! https://t.co/NnOesyVcL7"
663370451410944004,2015-11-08 15:00:15,"RT @AlmarssadNouh: Le but de @Chahechouhe92 
https://t.co/DwTAYeOCwd"
660437623605960704,2015-10-31 12:46:14,https://t.co/KY8eJQW6tv
658066681726672896,2015-10-24 23:44:57,"We will work more together to make our fans happy 
#HaydiYiğido https://t.co/JX9UleeP7Q"
652450765844430853,2015-10-09 11:49:19,#Matchday http://t.co/8giyB6d9z6
651901029223632897,2015-10-07 23:24:51,RT @OEKaddouri: National team @redbullita @chahechouhe92 @dirarn #kharja# https://t.co/Lbi3sXKqkc
651900962915942400,2015-10-07 23:24:35,http://t.co/WzuJ6SOFo1
651716788162568192,2015-10-07 11:12:45,Focused on our next friendly games http://t.co/MMLfln4LGA
640252331750260736,2015-09-05 19:57:05,Après la victoire contre São Tomé https://t.co/VAQlrj6Gxq
639473349731684352,2015-09-03 16:21:42,Next Stop : São Tomé https://t.co/HLgDo3OFJJ
639431564229767168,2015-09-03 13:35:39,"We continue preparations for the game against São Tomé , thanks for all your messages of support ! @… https://t.co/AwO0BH1hDr"
638761863493382144,2015-09-01 17:14:30,Next stop : Agadir ! #NationalTeam #DimaMaghrib https://t.co/eo9RLVaeXG
638112249371062272,2015-08-30 22:13:10,"I'm disappointed with result , we will be much better in the future . Now , it's time to join the… https://t.co/2KKhHtqbLc"
632667652742377473,2015-08-15 21:38:17,Just posted a photo https://t.co/v1l4t3Wgsr
632661630959120384,2015-08-15 21:14:21,I'm happy to score twice against Galatasaray but disappointed with result https://t.co/RO8MbhMT2w
626128940843839490,2015-07-28 20:35:47,#Trainingcamp #Netherlands #Sivasspor https://t.co/TuQhIso80G
625278318594629632,2015-07-26 12:15:42,With Mehdi Taouil #Sivasspor #Preseason https://t.co/8XoDFh8nSu
624972900429398017,2015-07-25 16:02:05,Friendly game against Heracles Almelo #Preseason https://t.co/7x4MUMdNSL
624224240410226688,2015-07-23 14:27:11,#Itw with #TrtSpor https://t.co/JfFgnSGJdQ
621890430691577856,2015-07-17 03:53:27,Eid Mubarak ! https://t.co/PTTAUXUQxg
621086931762454528,2015-07-14 22:40:38,1st game of pre-season http://t.co/dTbbvT2e1S
620995191994978305,2015-07-14 16:36:05,Départ pour le premier match amical de la saison contre Fenerbache http://t.co/9W5DjEXf30
620341643389046784,2015-07-12 21:19:07,During today's training session http://t.co/n9xpqcv6aO
619560562259849216,2015-07-10 17:35:23,"F'tor avec la team @SivassporKulubu 
Salam à tous ! http://t.co/4fOGG5MTeh"
619244039947227139,2015-07-09 20:37:38,Reprise avec Sivas ce matin http://t.co/EA1vwgQDWj
617156610364940288,2015-07-04 02:22:56,Avec mes gars sur au Resto http://t.co/f8SxM3HEl2
615978051923521536,2015-06-30 20:19:46,"En direct de Tetouan , saha f'tourkoum :) http://t.co/B9VlSmktU8"
611164261981753344,2015-06-17 13:31:29,Ramdan Kareem for all Muslims around the world . May Allah bless you and accept your Fasting :) http://t.co/nb0ae87U2U
608990183476879360,2015-06-11 13:32:28,"Avec les frères de la sélection
#NT #Agadir #Determination #DimaMaghrib http://t.co/9O5R62BgQi"
607999072243478528,2015-06-08 19:54:09,It was great to have a weekend off with friends in Taghazout http://t.co/jYJLQBR6Wr
607996816706138112,2015-06-08 19:45:11,"RT @AlmarssadproCom: Exclusive - Chahechouhe :"" Our goal is win the game against Lybia "" 
http://t.co/lixLieZh46 @Chahechouhe92 http://t.co…"
607987480013492226,2015-06-08 19:08:05,Durant l'entrainement d'aujourd'hui http://t.co/ZOUnRviLVC
607673327747006464,2015-06-07 22:19:46,https://t.co/Rp4APObbGD
607347625675878400,2015-06-07 00:45:32,"Avec mon gars Samba
https://t.co/qQFwG68lK0"
607327984228433920,2015-06-06 23:27:29,https://t.co/zPIQK5X3I7
607190387271319552,2015-06-06 14:20:44,"https://t.co/gqrpWEOZ1m
Merci pour votre soutient et bon week-end à tous !"
607190369831370753,2015-06-06 14:20:39,"Mes comptes sur les réseaux sociaux , tout les autres sont des fakes :
https://t.co/pwbxma1KE7
https://t.co/Y8QENUMP3B"
606801328623468544,2015-06-05 12:34:45,Avec les frères de la sélection . Bon joumouha à tous ! http://t.co/yQD2vbjLjK
606572850380742656,2015-06-04 21:26:51,RT @AlmarssadproCom: Good too see and meet our players again in Agadir. 👌👍 @MedhiBenatia @fantasyhachi @Chahechouhe92 http://t.co/NRnoCORbm0
606206467566399488,2015-06-03 21:10:59,Avec les lions ! http://t.co/KmCo8N7fBF
605772235769405440,2015-06-02 16:25:30,En direct de casa pour rejoindre la sélection à Agadir http://t.co/aQgT7KaHD4
604763126052102144,2015-05-30 21:35:39,Thanks to all the fans for your support during the season . we will be back stronger next season ! http://t.co/GNkJQneXPd
602240529015939072,2015-05-23 22:31:45,"One year ago today , I scored my first international goal 
#Flashback
https://t.co/XcIHyVjEQ2"
601864763187036160,2015-05-22 21:38:36,RT @AlmarssadNouh: 900 jeunes footballeurs attendus à Fontenay-aux-Roses http://t.co/tMdeXyR2EI
601354576378355712,2015-05-21 11:51:18,"RT @fontenay92: Ce w-e, 2e chalenge Aatif Chahechouhe du 23 au 25 mai au Stade du Panorama #football @ASFFootball @Chahechouhe92 http://t.c…"
599671555954708480,2015-05-16 20:23:34,I'm happy to score again but we are disappointed with the result http://t.co/T95xQwGizN
